Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,PASS,*,QUAL,138.000000,0.648343,0.69125,0.430875,0.66911,371871,241100,130771,591900,232858,104007,255035,969,98066,.,1.519032,.,1.829417,.,1.385473,.,2.363726,.,.,1.638469,1.487881,.,1.550026
INDEL,*,*,PASS,*,QUAL,139.000000,0.647601,0.69136,0.430483,0.668765,371871,240824,131047,590599,232543,103813,254243,969,97876,.,1.519032,.,1.827148,.,1.385851,.,2.366492,.,.,1.639319,1.488656,.,1.550423
INDEL,*,*,PASS,*,QUAL,140.000000,0.646824,0.691471,0.430082,0.668402,371871,240535,131336,589218,232200,103606,253412,968,97676,.,1.519032,.,1.824505,.,1.386353,.,2.369101,.,.,1.639951,1.48941,.,1.550392
INDEL,*,*,PASS,*,QUAL,141.000000,0.646114,0.691627,0.429694,0.668096,371871,240271,131600,587916,231897,103395,252624,966,97475,.,1.519032,.,1.82245,.,1.386685,.,2.372025,.,.,1.640722,1.490043,.,1.550753
INDEL,*,*,PASS,*,QUAL,142.000000,0.645251,0.691701,0.429348,0.667669,371871,239950,131921,586557,231526,103194,251837,965,97284,.,1.519032,.,1.821308,.,1.3866,.,2.374528,.,.,1.641226,1.490301,.,1.550938
INDEL,*,*,PASS,*,QUAL,143.000000,0.644546,0.691897,0.428912,0.667383,371871,239688,132183,585164,231218,102962,250984,962,97068,.,1.519032,.,1.82012,.,1.38662,.,2.378113,.,.,1.642779,1.490481,.,1.553357
INDEL,*,*,PASS,*,QUAL,144.000000,0.643836,0.692099,0.428481,0.667096,371871,239424,132447,583778,230912,102728,250138,957,96850,.,1.519032,.,1.819004,.,1.386615,.,2.38161,.,.,1.643762,1.490732,.,1.554462
INDEL,*,*,PASS,*,QUAL,145.000000,0.643107,0.692251,0.428118,0.666775,371871,239153,132718,582524,230613,102522,249389,956,96651,.,1.519032,.,1.817462,.,1.386762,.,2.38309,.,.,1.644522,1.490974,.,1.555563
INDEL,*,*,PASS,*,QUAL,146.000000,0.642392,0.692342,0.427712,0.666432,371871,238887,132984,581227,230293,102336,248598,956,96474,.,1.519032,.,1.816936,.,1.386536,.,2.386349,.,.,1.644807,1.491066,.,1.555249
INDEL,*,*,PASS,*,QUAL,147.000000,0.641728,0.692471,0.427324,0.666134,371871,238640,133231,580003,230007,102147,247849,952,96293,.,1.519032,.,1.81744,.,1.385956,.,2.388568,.,.,1.644981,1.490789,.,1.555352
INDEL,*,*,PASS,*,QUAL,148.000000,0.641115,0.692723,0.427007,0.66592,371871,238412,133459,578789,229736,101906,247147,950,96066,.,1.519032,.,1.818024,.,1.385374,.,2.391802,.,.,1.645164,1.490402,.,1.555495
INDEL,*,*,PASS,*,QUAL,149.000000,0.640539,0.692943,0.426592,0.665712,371871,238198,133673,577570,229491,101692,246387,947,95861,.,1.519032,.,1.819047,.,1.384648,.,2.393431,.,.,1.644787,1.489743,.,1.554981
INDEL,*,*,PASS,*,QUAL,150.000000,0.64002,0.693164,0.426257,0.665533,371871,238005,133866,576455,229255,101482,245718,941,95660,.,1.519032,.,1.819515,.,1.384161,.,2.396553,.,.,1.644866,1.4893,.,1.554938
