Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
SNP,*,*,PASS,*,QUAL,19.320000,0.995585,0.990371,0.191438,0.992971,3191551,3177459,14092,3971362,3180173,30919,760270,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,19.830000,0.995585,0.990371,0.191438,0.992971,3191551,3177459,14092,3971362,3180173,30919,760270,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,20.350000,0.995585,0.990371,0.191438,0.992971,3191551,3177459,14092,3971361,3180173,30919,760269,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,20.860001,0.995585,0.990371,0.191437,0.992971,3191551,3177459,14092,3971359,3180173,30919,760267,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,21.389999,0.995585,0.990371,0.191437,0.992971,3191551,3177459,14092,3971357,3180173,30919,760265,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,21.900000,0.995585,0.990371,0.191437,0.992971,3191551,3177459,14092,3971355,3180173,30919,760263,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,22.410000,0.995585,0.990371,0.191437,0.992971,3191551,3177459,14092,3971355,3180173,30919,760263,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,22.920000,0.995585,0.990371,0.191436,0.992971,3191551,3177459,14092,3971353,3180173,30919,760261,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,23.430000,0.995585,0.990371,0.191436,0.992971,3191551,3177459,14092,3971353,3180173,30919,760261,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,23.940001,0.995585,0.990371,0.191436,0.992971,3191551,3177459,14092,3971353,3180173,30919,760261,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,24.450001,0.995585,0.990371,0.191436,0.992971,3191551,3177459,14092,3971351,3180173,30919,760259,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,24.959999,0.995585,0.990371,0.191436,0.992971,3191551,3177459,14092,3971351,3180173,30919,760259,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,25.469999,0.995585,0.990371,0.191436,0.992971,3191551,3177459,14092,3971350,3180173,30919,760258,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,25.980000,0.995585,0.990371,0.191435,0.992971,3191551,3177459,14092,3971349,3180173,30919,760257,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,26.510000,0.995585,0.990371,0.191435,0.992971,3191551,3177459,14092,3971348,3180173,30919,760256,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,27.030001,0.995585,0.990371,0.191435,0.992971,3191551,3177459,14092,3971347,3180173,30919,760255,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,27.540001,0.995585,0.990371,0.191435,0.992971,3191551,3177459,14092,3971345,3180173,30919,760253,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,28.049999,0.995585,0.990371,0.191434,0.992971,3191551,3177459,14092,3971343,3180173,30919,760251,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,28.559999,0.995585,0.990371,0.191434,0.992971,3191551,3177459,14092,3971342,3180173,30919,760250,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,29.070000,0.995585,0.990371,0.191434,0.992971,3191551,3177459,14092,3971340,3180173,30919,760248,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,29.590000,0.995585,0.990371,0.191433,0.992971,3191551,3177459,14092,3971339,3180173,30919,760247,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,30.100000,0.995585,0.990371,0.191433,0.992971,3191551,3177459,14092,3971338,3180173,30919,760246,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,30.610001,0.995585,0.990371,0.191433,0.992971,3191551,3177459,14092,3971335,3180173,30919,760243,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,31.120001,0.995585,0.990371,0.191432,0.992971,3191551,3177459,14092,3971332,3180173,30919,760240,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,31.629999,0.995585,0.990371,0.191432,0.992971,3191551,3177459,14092,3971329,3180173,30918,760238,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,32.130001,0.995585,0.990372,0.191431,0.992971,3191551,3177459,14092,3971325,3180173,30917,760235,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,32.639999,0.995585,0.990372,0.19143,0.992971,3191551,3177459,14092,3971322,3180173,30917,760232,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,33.150002,0.995585,0.990372,0.19143,0.992971,3191551,3177459,14092,3971318,3180173,30917,760228,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,33.660000,0.995585,0.990372,0.191428,0.992971,3191551,3177459,14092,3971308,3180173,30917,760218,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,34.169998,0.995585,0.990372,0.191426,0.992971,3191551,3177459,14092,3971302,3180173,30917,760212,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,34.680000,0.995585,0.990372,0.191426,0.992972,3191551,3177459,14092,3971299,3180173,30916,760210,1032,1472,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,35.189999,0.995585,0.990372,0.191425,0.992972,3191551,3177459,14092,3971293,3180173,30915,760205,1032,1472,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,35.700001,0.995585,0.990373,0.191424,0.992972,3191551,3177459,14092,3971286,3180173,30914,760199,1032,1472,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,36.209999,0.995585,0.990373,0.191424,0.992972,3191551,3177459,14092,3971285,3180173,30914,760198,1032,1472,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,36.720001,0.995585,0.990373,0.191423,0.992972,3191551,3177459,14092,3971283,3180173,30914,760196,1032,1472,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,37.230000,0.995585,0.990373,0.191422,0.992972,3191551,3177459,14092,3971277,3180173,30914,760190,1032,1472,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,37.740002,0.995585,0.990373,0.19142,0.992972,3191551,3177459,14092,3971269,3180173,30914,760182,1032,1472,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,38.250000,0.995585,0.990373,0.191419,0.992972,3191551,3177459,14092,3971261,3180173,30914,760174,1032,1472,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,38.759998,0.995585,0.990373,0.191416,0.992972,3191551,3177459,14092,3971247,3180173,30913,760161,1032,1472,,,,,,,,,,,,,,
